Estimate ID,Estimate #,Close Date,Status,Division,Price,Hours,Price/Hour
EST5077566,EST5077566,2025-01-05T00:00:00+00:00,won,LE Tree Care,1569.02,12,130.75
EST5451698,EST5451698,2025-06-01T00:00:00+00:00,won,LE Irrigation,14312.16,0,
EST5616673,EST5616673,2025-08-06T00:00:00+00:00,won,LE Tree Care,586.92,4,146.73
EST5609487,EST5609487,2025-08-07T00:00:00+00:00,won,LE Irrigation,5975.34,32,186.73
EST5618743,EST5618743,2025-08-04T00:00:00+00:00,won,LE Irrigation,305.22,3,101.74
EST5617579,EST5617579,2025-08-06T00:00:00+00:00,won,LE Tree Care,703.11,5,140.62
EST5631620,EST5631620,2025-09-18T00:00:00+00:00,won,LE Irrigation,1483.97,14,106.00
EST5641692,EST5641692,2025-08-13T00:00:00+00:00,won,LE Paving,1637.48,8,204.69
EST5432160,EST5432160,2025-05-25T00:00:00+00:00,won,LE Irrigation,1088.89,0,
EST5453356,EST5453356,2025-06-03T00:00:00+00:00,won,LE Irrigation,2489.46,24,103.73
EST3113018,EST3113018,2025-04-22T00:00:00+00:00,won,LE Maintenance (Summer/Winter),2610,0,
EST5638564,EST5638564,2025-08-17T00:00:00+00:00,won,LE Irrigation,1303.71,12,108.64
EST5360820,EST5360820,2025-05-01T00:00:00+00:00,won,LE Irrigation,150,0,
EST5643104,EST5643104,2025-09-01T00:00:00+00:00,won,LE Tree Care,1268.04,8,158.50
EST5307308,EST5307308,2025-05-15T00:00:00+00:00,won,LE Irrigation,650,0,
EST5634330,EST5634330,2025-08-10T00:00:00+00:00,won,LE Irrigation,471.61,4,117.90
EST5490855,EST5490855,2025-07-06T00:00:00+00:00,won,LE Irrigation,2624.02,24,109.33
EST5432834,EST5432834,2025-06-01T00:00:00+00:00,won,LE Irrigation,549.42,4,137.35
EST5641433,EST5641433,2025-08-12T00:00:00+00:00,won,LE Tree Care,1706.52,10,170.65
EST5368203,EST5368203,2025-05-04T00:00:00+00:00,won,LE Irrigation,150,0,
EST5651265,EST5651265,2025-08-20T00:00:00+00:00,won,LE Landscapes,2999.99,40,75.00
EST5650526,EST5650526,2025-08-18T00:00:00+00:00,won,LE Paving,13894.57,92,151.03
EST5647245,EST5647245,2025-08-17T00:00:00+00:00,won,LE Tree Care,1455.08,10,145.51
EST5668632,EST5668632,2025-09-01T00:00:00+00:00,won,LE Tree Care,749.97,4,187.49
EST3251320,EST3251320,2025-09-28T00:00:00+00:00,won,LE Maintenance (Summer/Winter),30980,105,295.05
EST3254527,EST3254527,2025-09-28T00:00:00+00:00,won,LE Maintenance (Summer/Winter),13355,15,890.33
