Estimate ID,Division,Type,Version,Price,Hours,PPH
EST3015659,LE Maintenance (Summer/Winter),Service,2026,51985.78,,
EST3017119,LE Maintenance (Summer/Winter),Service,2026,9425.02,,
EST5770273,LE Irrigation,Standard,,608.16,6,101.36
EST3015527,LE Maintenance (Summer/Winter),Service,2026,8771.88,,
EST3015782,LE Maintenance (Summer/Winter),Service,2026,2892.24,,
EST3307342,LE Maintenance (Summer/Winter),Service,2026,16763.6,15,1117.57
EST5333954,LE Irrigation,Standard,2026,4050,,
EST3277343,LE Maintenance (Summer/Winter),Service,2026,14368.49,72,199.56
EST5770259,LE Irrigation,Standard,,651.86,6,108.64
EST3270381,LE Maintenance (Summer/Winter),Service,1,3150,,
EST3015786,LE Maintenance (Summer/Winter),Service,2027,2979.01,,
EST5333992,LE Irrigation,Standard,2027,4050,,
EST3017129,LE Maintenance (Summer/Winter),Service,2027,9707.77,,
EST3015579,LE Maintenance (Summer/Winter),Service,2027,9035.04,,
EST3015670,LE Maintenance (Summer/Winter),Service,2027,53545.35,,
EST2948927,LE Maintenance (Summer/Winter),Service,1,32519.05,90,361.32
EST2982018,LE Maintenance (Summer/Winter),Service,2025,116552.08,25,4662.08
EST2987807,LE Maintenance (Summer/Winter),Service,2025-2026,49067.14,105,467.31
EST2981926,LE Maintenance (Summer/Winter),Service,2025,52417.57,25,2096.70
EST5193441,LE Irrigation,Standard,,7653.58,32,239.17
EST5193436,LE Irrigation,Standard,,8199.34,32,256.23
EST5199924,LE Paving,Standard,,5492.65,15,366.18
EST5314150,LE Maintenance Enchancements,Standard,,937,6,156.17
EST5193445,LE Irrigation,Standard,,13441.93,48,280.04
EST4934222,LE Irrigation,Standard,,6346.59,24,264.44
EST2987508,LE Maintenance (Summer/Winter),Service,2025-2026,114333.53,105,1088.89
EST5193429,LE Irrigation,Standard,,8775.07,32,274.22
EST5406182,LE Tree Care,Standard,,1760.76,12,146.73
EST5847209,LE Irrigation,Standard,,400,,
EST5485558,LE Landscapes,Standard,,2153.38,12,179.45
EST5818536,LE Irrigation,Standard,,707.42,6,117.90
EST5593813,LE Tree Care,Standard,,1314.47,9,146.05
EST5506088,LE Maintenance (Summer/Winter),Standard,,1400,8,175.00
EST5778044,LE Tree Care,Standard,,400.02,3,133.34
EST5818562,LE Irrigation,Standard,,651.86,6,108.64
EST5457195,LE Paving,Standard,,8848.46,42,210.68
EST5436543,LE Landscapes,Standard,,1444.36,8,180.54
EST5532670,LE Tree Care,Standard,,739.77,5,147.95
EST5859835,LE Tree Care,Standard,,260.74,2,130.37
EST5485444,LE Landscapes,Standard,,3742.41,14,267.31
EST5741300,LE Tree Care,Standard,,4044.85,26.5,152.64
EST5722814,LE Paving,Standard,,912.84,3,304.28
EST5580473,LE Tree Care,Standard,,3978.74,12,331.56
EST5630549,LE Irrigation,Standard,,982.75,6,163.79
EST5787231,LE Landscapes,Standard,,4680.09,18,260.00
EST5497349,LE Paving,Standard,,9794.75,35,279.85
EST5740095,LE Irrigation,Standard,,311.43,2,155.72
EST5451050,LE Irrigation,Standard,,225,,
EST5562983,LE Paving,Standard,,495.4,2,247.70
