Estimate ID,Estimate #,Close Date,Status,Division,Price,Hours,Price/Hour,Exclusion Reason
EST3339051,EST3339051,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),116570,2,58285.00,High price-per-hour ($58285.00)
EST3339275,EST3339275,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),86420,2,43210.00,High price-per-hour ($43210.00)
EST3338996,EST3338996,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),138900,2,69450.00,High price-per-hour ($69450.00)
EST3339582,EST3339582,2025-10-12T00:00:00+00:00,won,LE Maintenance (Summer/Winter),29160,2,14580.00,High price-per-hour ($14580.00)
EST3339442,EST3339442,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),26680,2,13340.00,High price-per-hour ($13340.00)
EST3340468,EST3340468,2025-10-14T00:00:00+00:00,won,LE Maintenance (Summer/Winter),113560,2,56780.00,High price-per-hour ($56780.00)
EST3339416,EST3339416,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),24610,2,12305.00,High price-per-hour ($12305.00)
EST3339461,EST3339461,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),55820,2,27910.00,High price-per-hour ($27910.00)
EST3339280,EST3339280,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),86420,2,43210.00,High price-per-hour ($43210.00)
EST3341661,EST3341661,2025-10-14T00:00:00+00:00,won,LE Maintenance (Summer/Winter),27040,2,13520.00,High price-per-hour ($13520.00)
EST3339076,EST3339076,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),115940,2,57970.00,High price-per-hour ($57970.00)
EST3341656,EST3341656,2025-10-14T00:00:00+00:00,won,LE Maintenance (Summer/Winter),27040,2,13520.00,High price-per-hour ($13520.00)
EST3339251,EST3339251,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),76400,2,38200.00,High price-per-hour ($38200.00)
EST3340463,EST3340463,2025-10-14T00:00:00+00:00,won,LE Maintenance (Summer/Winter),113560,2,56780.00,High price-per-hour ($56780.00)
EST3339233,EST3339233,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),336830,2,168415.00,High price-per-hour ($168415.00)
EST3339002,EST3339002,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),138900,2,69450.00,High price-per-hour ($69450.00)
EST3339647,EST3339647,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),39540,2,19770.00,High price-per-hour ($19770.00)
EST3339085,EST3339085,2025-10-13T00:00:00+00:00,won,LE Maintenance (Summer/Winter),115940,2,57970.00,High price-per-hour ($57970.00)
EST3307548,EST3307548,2025-09-25T00:00:00+00:00,won,LE Maintenance (Summer/Winter),14724,1,14724.00,High price-per-hour ($14724.00)
EST3312074,EST3312074,2025-09-25T00:00:00+00:00,won,LE Maintenance (Summer/Winter),15165.72,1,15165.72,High price-per-hour ($15165.72)
EST3312077,EST3312077,2025-09-25T00:00:00+00:00,won,LE Maintenance (Summer/Winter),15620.69,1,15620.69,High price-per-hour ($15620.69)
