Estimate ID,Division,Type,Version,Price,Hours,PPH,Exclusion Reason
EST2846247,LE Maintenance Enchancements,Standard,,80,,,Price < $100
EST3339076,LE Maintenance (Summer/Winter),Service,2026-2027,115940,2,57970.00,PPH > $5,000 ($57970.00/h)
EST3340463,LE Maintenance (Summer/Winter),Service,2026-2027,113560,2,56780.00,PPH > $5,000 ($56780.00/h)
EST3339416,LE Maintenance (Summer/Winter),Service,2027-2028,24610,2,12305.00,PPH > $5,000 ($12305.00/h)
EST3339582,LE Maintenance (Summer/Winter),Service,2027-2028,29160,2,14580.00,PPH > $5,000 ($14580.00/h)
EST3340468,LE Maintenance (Summer/Winter),Service,2027-2028,113560,2,56780.00,PPH > $5,000 ($56780.00/h)
EST3338996,LE Maintenance (Summer/Winter),Service,,138900,2,69450.00,PPH > $5,000 ($69450.00/h)
EST3339442,LE Maintenance (Summer/Winter),Service,2027-2028,26680,2,13340.00,PPH > $5,000 ($13340.00/h)
EST3339085,LE Maintenance (Summer/Winter),Service,2027-2028,115940,2,57970.00,PPH > $5,000 ($57970.00/h)
EST3339647,LE Maintenance (Summer/Winter),Service,2027-2028,39540,2,19770.00,PPH > $5,000 ($19770.00/h)
EST3339280,LE Maintenance (Summer/Winter),Service,2027-2028,86420,2,43210.00,PPH > $5,000 ($43210.00/h)
EST3339251,LE Maintenance (Summer/Winter),Service,2027-2028,76400,2,38200.00,PPH > $5,000 ($38200.00/h)
EST3339233,LE Maintenance (Summer/Winter),Service,2027-2028,336830,2,168415.00,PPH > $5,000 ($168415.00/h)
EST3341661,LE Maintenance (Summer/Winter),Service,2027-2028,27040,2,13520.00,PPH > $5,000 ($13520.00/h)
EST3341656,LE Maintenance (Summer/Winter),Service,2026-2027,27040,2,13520.00,PPH > $5,000 ($13520.00/h)
EST3339461,LE Maintenance (Summer/Winter),Service,2027-2028,55820,2,27910.00,PPH > $5,000 ($27910.00/h)
EST3339002,LE Maintenance (Summer/Winter),Service,,138900,2,69450.00,PPH > $5,000 ($69450.00/h)
EST5587094,LE Maintenance (Summer/Winter),Standard,,75.74,1,75.74,Price < $100
EST5742968,LE Paving,Standard,,8755.72,1,8755.72,PPH > $5,000 ($8755.72/h)
EST3307548,LE Maintenance (Summer/Winter),Service,2025,14724,1,14724.00,PPH > $5,000 ($14724.00/h)
EST3312074,LE Maintenance (Summer/Winter),Service,2026,15165.72,1,15165.72,PPH > $5,000 ($15165.72/h)
EST3312077,LE Maintenance (Summer/Winter),Service,2027,15620.69,1,15620.69,PPH > $5,000 ($15620.69/h)
